Cloudiness,Humidity,Temperature,Wind Speed,Initial Cluster,Cluster
89.55882352941177,37.97058823529413,81.52735294117647,8.499705882352941,7,0
13.56521739130438,68.73913043478261,81.51326086956522,10.50804347826087,13,1
40.61904761904762,36.52380952380954,80.27571428571429,9.352380952380953,9,2
43.06818181818182,77.22727272727273,76.15977272727272,8.364545454545453,8,3
74.64285714285714,77.92857142857144,75.60482142857143,7.5007142857142854,11,4
3.2857142857143202,29.48571428571431,72.722,7.804857142857143,3,5
96.60869565217389,85.2608695652174,71.93449275362319,7.624782608695652,0,6
7.235294117647058,79.74509803921569,63.05058823529412,7.756274509803921,1,7
84.30000000000001,59.780000000000015,40.3382,11.5788,2,8
39.37142857142857,74.11428571428571,36.61457142857142,12.281714285714287,5,9
91.5762711864407,88.35593220338986,36.294067796610165,12.776949152542372,6,10
4.925925925925938,59.44444444444445,27.399629629629622,6.96111111111111,10,11
89.4390243902439,87.82926829268294,7.442195121951201,8.456097560975609,12,12
14.349999999999994,78.2,-12.272499999999994,6.788500000000001,4,13
