City,Cloudiness(%),Humidity(%),Latitude,Longitude,Temperature(F),Wind Speed(mph),Initial Cluster,Cluster
severo-kurilsk,84,82,50.68,156.12,27.43,16.55,3,9
arraial do cabo,0,83,-22.97,-42.03,78.8,8.05,1,3
omboue,100,94,-1.57,9.26,77.65,1.77,2,2
kavieng,12,77,-2.57,150.8,84.24,12.1,1,3
mitchell,75,44,43.71,-98.03,38.73,4.7,0,5
ushuaia,20,87,-54.8,-68.3,50.0,6.93,8,8
gorontalo,8,74,0.54,123.06,79.74,4.94,1,3
iskateley,79,94,67.68,53.15,16.47,10.58,3,9
opuwo,13,47,-18.06,13.84,67.6,3.85,5,4
gallup,90,80,35.53,-108.74,46.27,12.75,7,6
saint-jovite,75,64,46.12,-74.6,40.15,18.34,7,6
guerrero negro,17,53,27.98,-114.06,67.48,10.76,5,4
punta arenas,59,47,-53.15,-70.92,54.14,10.29,0,5
castro,33,63,-24.79,-50.01,66.38,4.32,9,1
hermanus,0,94,-34.42,19.23,57.69,11.34,1,3
saint-augustin,81,84,51.23,-58.65,10.65,11.23,3,9
boden,13,61,65.83,21.69,15.8,8.05,8,8
port hardy,20,30,50.7,-127.42,42.8,6.93,6,7
hobart,75,50,-42.88,147.33,51.26,11.41,0,5
filadelfia,1,23,39.95,-75.16,62.94,9.17,5,4
mogadishu,97,81,2.04,45.34,82.74,22.39,2,2
port lincoln,55,66,-34.73,135.87,60.33,20.92,9,1
orsha,3,88,54.52,30.41,33.06,8.46,8,8
marzuq,0,37,14.4,46.47,59.7,5.19,5,4
davila,20,94,18.47,120.58,73.4,3.36,1,3
youkounkoun,1,12,12.53,-13.13,79.27,3.94,5,4
berdigestyakh,100,95,62.1,126.7,-12.15,8.21,3,9
vaini,90,94,-21.2,-175.2,75.2,11.41,2,2
bethel,1,23,41.37,-73.41,58.84,12.75,5,4
xai-xai,18,93,-25.05,33.64,71.24,3.69,1,3
lincoln,90,39,40.8,-96.67,43.45,5.82,0,5
carnarvon,75,100,-24.87,113.63,78.8,8.05,2,2
port blair,28,69,11.67,92.75,81.09,8.16,9,1
aklavik,90,62,68.22,-135.01,23.92,4.7,3,9
bredasdorp,0,82,-34.53,20.04,57.6,3.36,1,3
erenhot,16,49,43.65,111.98,25.92,12.08,6,7
malinovoye ozero,66,90,51.68,79.78,23.31,9.55,3,9
cape town,75,93,-33.93,18.42,61.61,1.12,2,2
zambezi,100,96,-13.54,23.1,66.7,3.11,2,2
cockburn town,40,73,21.46,-71.14,77.0,12.75,9,1
cayenne,20,78,4.93,-52.33,80.6,9.17,1,3
pacific grove,90,71,36.62,-121.92,55.63,16.11,7,6
bengkulu,61,85,-3.8,102.27,75.43,3.38,9,1
los llanos de aridane,75,68,28.66,-17.92,63.12,12.75,10,0
alofi,75,88,-19.06,-169.92,82.4,8.05,2,2
srednekolymsk,92,89,67.45,153.68,-16.42,11.14,3,9
hilo,90,69,19.73,-155.09,71.91,12.75,10,0
porto belo,2,78,-27.16,-48.55,78.3,8.05,1,3
talnakh,90,92,69.49,88.4,28.4,26.84,7,6
marawi,36,83,8.0,124.29,73.0,5.99,9,1
kodiak,1,59,57.79,-152.41,37.4,3.36,6,7
coquimbo,75,82,-29.95,-71.34,64.4,13.87,10,0
oildale,1,37,35.42,-119.02,61.18,11.41,5,4
serenje,100,96,-13.23,30.24,63.7,2.28,2,2
manturovo,100,82,58.34,44.76,33.8,12.39,7,6
nishihara,90,93,26.18,127.76,65.57,13.87,2,2
zhanaozen,7,45,43.3,52.8,48.58,10.69,6,7
cidreira,0,89,-30.18,-50.21,76.1,12.3,1,3
hualmay,46,75,-11.1,-77.61,72.73,5.19,9,1
thompson,75,39,55.74,-97.86,10.4,13.87,0,5
mehran,90,30,33.12,46.16,59.0,9.17,0,5
saint george,90,76,37.1,-113.58,48.38,9.17,7,6
suwannaphum,56,78,15.6,103.8,81.99,3.74,9,1
tuktoyaktuk,90,85,69.45,-133.04,21.2,25.28,3,9
broome,1,41,42.25,-75.83,44.29,16.11,6,7
tambun,20,83,-6.26,107.07,78.28,3.36,1,3
manaus,40,70,-3.1,-60.02,83.3,5.82,9,1
katsuura,75,76,35.13,140.3,48.36,19.46,7,6
port elizabeth,75,100,-33.92,25.57,66.2,9.17,2,2
muros,14,100,42.78,-9.06,47.17,4.7,8,8
luwuk,76,72,-0.95,122.79,82.24,8.63,10,0
teknaf,8,75,20.86,92.31,64.99,1.61,1,3
seoul,1,73,37.57,126.98,26.35,1.12,8,8
kushmurun,90,98,52.45,64.63,34.52,17.4,7,6
asau,100,87,46.43,26.4,43.97,3.36,7,6
auki,63,76,-8.77,160.7,84.43,14.16,10,0
gubkinskiy,97,90,64.43,76.5,33.91,21.47,7,6
sitka,1,47,57.05,-135.33,34.61,6.93,6,7
faanui,66,76,-16.48,-151.75,82.81,13.91,10,0
hithadhoo,58,59,-0.6,73.08,83.46,7.7,10,0
saint-raymond,75,52,45.47,-73.61,40.89,31.09,0,5
mineiros,0,92,-17.57,-52.55,70.0,4.5,1,3
xining,0,60,36.62,101.77,22.14,1.63,8,8
new norfolk,75,50,-42.78,147.06,51.01,11.41,0,5
chokurdakh,100,96,70.63,147.92,-18.31,8.77,3,9
aswan,0,37,24.09,32.91,66.2,5.82,5,4
longyearbyen,40,63,78.22,15.64,-5.8,18.34,4,10
oistins,40,78,13.07,-59.53,77.0,18.34,9,1
adre,52,23,13.47,22.2,62.82,16.98,0,5
umm lajj,0,42,25.02,37.27,63.19,10.94,5,4
lianzhou,60,84,24.78,112.38,54.55,6.51,9,1
grindavik,75,79,63.84,-22.43,27.46,21.92,3,9
pombas,75,64,17.15,-25.02,73.4,17.22,10,0
upernavik,100,97,72.79,-56.15,-12.3,5.93,3,9
jinchang,0,29,38.5,102.17,25.81,1.36,6,7
san patricio,20,74,19.22,-104.7,84.2,9.17,1,3
ancud,20,76,-41.87,-73.82,55.4,9.17,1,3
san policarpo,38,75,12.18,125.51,80.17,9.33,9,1
richards bay,92,87,-28.78,32.04,77.2,10.36,2,2
kavaratti,20,78,10.57,72.64,81.03,15.43,1,3
noumea,100,88,-22.28,166.46,81.01,3.36,2,2
katete,100,95,-0.78,29.75,57.27,3.53,2,2
avarua,38,70,-21.21,-159.78,84.2,4.7,9,1
te anau,29,63,-45.42,167.72,56.12,7.56,9,1
kalmunai,56,66,7.42,81.82,81.73,9.26,9,1
acajutla,20,34,13.59,-89.83,84.25,3.36,5,4
praxedis guerrero,40,43,31.37,-106.02,71.71,17.22,9,1
bonga,100,97,7.28,36.23,57.76,1.39,2,2
agadir,65,87,30.42,-9.6,59.0,3.36,9,1
kampene,100,99,-3.6,26.67,67.62,2.24,2,2
yumen,50,48,40.28,97.2,24.85,10.0,0,5
todi,94,100,42.78,12.4,48.04,2.24,7,6
dawson creek,1,49,55.77,-120.24,1.4,4.7,4,10
tokat,100,77,40.42,36.58,46.99,4.56,7,6
havoysund,90,85,71.0,24.66,18.5,24.16,3,9
kununurra,64,78,-15.77,128.73,82.4,2.64,10,0
bridgewater,100,98,44.38,-64.52,42.48,5.01,7,6
