City,Cloudiness(%),Humidity(%),Latitude,Longitude,Temperature(F),Wind Speed(mph),Initial Cluster,Cluster
bambanglipuro,100,84,-7.95,110.28,77.67,0.98,2,2
mar del plata,0,78,-38.0,-57.56,74.7,8.05,1,3
cap malheureux,75,94,-19.98,57.61,73.4,11.74,2,2
airai,69,60,-8.93,125.41,75.4,1.63,10,0
san pedro,20,74,14.35,121.02,78.94,1.12,1,3
contamana,84,56,-7.33,-75.02,84.79,2.55,10,0
diapaga,0,11,12.07,1.79,81.52,9.44,5,4
matara,0,90,5.95,80.54,71.44,6.67,1,3
curup,59,97,-3.47,102.53,68.47,3.31,9,1
marystown,68,71,47.17,-55.15,28.62,11.77,3,9
catabola,100,96,-12.15,17.28,64.98,2.66,2,2
simoes,99,92,-7.6,-40.82,72.9,4.43,2,2
bathsheba,40,78,13.22,-59.52,77.0,18.34,9,1
manono,100,99,-7.3,27.42,67.14,2.55,2,2
unecha,30,81,52.85,32.67,36.72,8.57,8,8
ayorou,0,10,14.73,0.92,77.05,9.86,5,4
sabha,49,32,27.04,14.43,56.61,6.2,0,5
takoradi,72,93,4.88,-1.76,78.53,2.89,2,2
ust-omchug,91,88,61.15,149.63,-11.31,8.3,3,9
honningsvag,90,85,70.98,25.97,19.4,24.16,3,9
esperance,90,93,-33.87,121.9,62.6,10.29,2,2
manali,40,88,13.17,80.27,78.6,2.24,9,1
price,90,86,39.6,-110.81,35.83,16.11,7,6
ngerengere,75,94,-6.75,38.12,75.2,3.0,2,2
nortelandia,40,92,-14.45,-56.8,75.31,2.39,9,1
sao joao da barra,40,83,-21.64,-41.05,78.8,5.82,9,1
oshawa,90,44,43.9,-78.85,39.78,25.28,0,5
ambon,100,74,-3.7,128.18,82.67,7.0,2,2
big spring,90,100,32.25,-101.48,52.77,11.41,7,6
maubin,0,88,16.73,95.65,73.4,2.24,1,3
ushtobe,57,55,45.25,77.98,39.36,4.65,0,5
iqaluit,20,62,63.75,-68.51,-16.56,12.75,4,10
aksu,8,30,41.12,80.26,36.48,4.85,6,7
kahului,40,73,20.89,-156.47,70.93,8.05,9,1
yellowknife,5,53,62.46,-114.35,-5.37,3.36,4,10
guadix,100,66,37.3,-3.14,54.01,3.36,7,6
pevek,100,75,69.7,170.31,-3.69,10.13,3,9
astoria,75,75,46.19,-123.83,42.69,9.17,7,6
burns lake,28,60,54.23,-125.75,9.61,14.83,4,10
buluang,46,76,13.31,123.34,77.56,4.83,9,1
unity,96,92,52.45,-109.17,-2.31,8.39,3,9
sandakan,40,94,5.84,118.12,77.0,3.42,9,1
padang,17,93,-0.95,100.35,69.08,5.08,1,3
dingle,23,81,11.0,122.67,78.53,8.41,1,3
wilmington,20,56,34.23,-77.94,66.67,4.7,1,3
acapulco,20,66,16.86,-99.89,86.0,8.05,1,3
chenghai,75,93,23.46,116.77,64.4,6.71,2,2
harper,97,95,4.38,-7.72,77.25,2.64,2,2
